"source","target","weight"
"ALDH1A1","CD24",0.815
"ALDH1A1","HSD17B6",0.912
"ADH1C","ALDH1A1",0.921
"ADH1B","ALDH1A1",0.949
"ALDH1A1","RDH11",0.951
"ALDH1L1","SLC1A3",0.781
"ALDH1L1","S100B",0.705
"ALDH1L1","MTHFD2",0.955
"ACADS","ALDH2",0.906
"ACSS2","ALDH2",0.954
"ACSS3","ALDH2",0.886
"ALDH2","ALDH3A2",0.932
"ABAT","ALDH2",0.945
"ALDH2","AOC3",0.976
"ALDH2","MAOA",0.982
"ADH1C","ALDH2",0.989
"ADH1B","ALDH2",0.995
"ALDH3A2","FA2H",0.782
"ACADS","ALDH3A2",0.883
"ACSS2","ALDH3A2",0.947
"ALDH2","ALDH3A2",0.932
"ADH1B","ALDH3A2",0.861
"ALDH3A2","AOC3",0.928
"ALDH3A2","MAOA",0.957
"ALDH3A2","HSDL2",0.756
"ADH1C","ALDH3A2",0.862
"ACSS3","ALDH3A2",0.902
"ABAT","ALDH3A2",0.947
"ACSS2","ALDH3B2",0.947
"ADH1B","ALDH3B2",0.836
"ALDH3B2","AOC3",0.928
"ALDH3B2","MAOA",0.941
"ABAT","ALDH3B2",0.942
"ADH1C","ALDH3B2",0.847
"ALK","KRAS",0.989
"ALK","PIK3CA",0.979
"ALK","BCL2A1",0.707
"ALK","TP53",0.772
"ALK","ERBB2",0.775
"ALK","IRS1",0.882
"ALK","SMARCA4",0.736
"ALK","FN1",0.744
"ALK","TGFBR2",0.947
"ALK","PTEN",0.722
"ALK","SDC1",0.792
"ALK","PTPN11",0.79
"ALK","MYC",0.896
"ALK","HRAS",0.966
"ALK","PIK3R1",0.973
"ALK","MDK",0.997
"AMOTL2","PRKCI",0.906
"AMOTL2","PATJ",0.957
"ANG","CXCL8",0.767
"ANG","RNASE4",0.988
"ANGPT1","VWF",0.755
"ANGPT1","FGF2",0.822
"ANGPT1","ERBB3",0.728
"ANGPT1","ERBB2",0.736
"ANGPT1","EGFR",0.85
"ANGPT1","NTRK2",0.719
"ANGPT1","PTPRB",0.705
"ANGPT1","FGFR3",0.732
"ANGPT1","ERBB4",0.712
"ANGPT1","CXCL12",0.704
"AKAP12","ANGPT1",0.733
"ANGPT1","CXCR4",0.757
"ANGPT1","FGFR2",0.738
"ANGPT1","CDH5",0.797
"ANGPTL4","PDK4",0.739
"ANGPTL4","FABP4",0.737
"ANGPTL4","PPARG",0.875
"ANGPTL4","CDH5",0.87
"ANGPTL4","CLDN5",0.913
"ANGPTL4","GPIHBP1",0.926
"ANGPTL4","LPL",0.994
"ANK2","TP53",0.727
"ANK2","ERBB2",0.824
"ANK2","ANK3",0.911
"ANK2","REL",0.857
"ANK2","ITPR1",0.986
"ANK2","SCN4B",0.862
"ANK2","SPTBN1",0.997
"ANK2","MAML2",0.745
"ANK2","DMD",0.76
"ANK2","DMTN",0.802
"ANK3","CDH1",0.766
"ANK3","TP53",0.753
"ANK3","ERBB2",0.825
"ANK3","GABARAPL1",0.735
"ANK3","MAML2",0.747
"ANK3","EZR",0.75
"ANK3","DMTN",0.807
"ANK3","REL",0.854
"ANK2","ANK3",0.911
"ANK3","ITPR1",0.946
"ANK3","SPTBN1",0.974
"ANLN","TRIP13",0.748
"ANLN","AURKA",0.741
"ANLN","DLGAP5",0.914
"ANLN","CCNB1",0.86
"ANLN","KIF23",0.989
"ANLN","KIF11",0.947
"ANLN","MCM4",0.841
"ANLN","CENPE",0.762
"ANLN","CDC20",0.701
"ANLN","TTK",0.704
"ANLN","NUSAP1",0.712
"ANLN","KPNA2",0.714
"ANLN","TYMS",0.729
"ANLN","SHCBP1",0.743
"ANLN","MKI67",0.745
"ANLN","CCNA2",0.747
"ANLN","EXO1",0.754
"ANLN","UBE2C",0.773
"ANLN","BIRC5",0.781
"ANLN","KIF4A",0.782
"ANLN","RRM2",0.785
"ANLN","NEK2",0.787
"ANLN","CDCA8",0.789
"ANLN","IQGAP3",0.795
"ANLN","BUB1B",0.8
"ANLN","SMC4",0.806
"ANLN","PBK",0.811
"ANLN","CDK1",0.816
"ANLN","KIF2C",0.821
"ANLN","KIF14",0.828
"ANLN","MELK",0.831
"ANLN","PRC1",0.839
"ANLN","CENPF",0.842
"ANLN","DEPDC1",0.847
"ANLN","TOP2A",0.861
"ANLN","HMMR",0.88
"ANLN","NUF2",0.897
"ANLN","ASPM",0.9
"ANLN","BUB1",0.917
"ANLN","TPX2",0.923
"ANLN","CEP55",0.93
"ANLN","KIF20A",0.949
"ANLN","ECT2",0.994
"ANO3","GNAL",0.801
"ANTXR2","VWF",0.802
"ANXA1","CDH1",0.776
"ANXA1","TP53",0.762
"ANXA1","EGFR",0.802
"ANXA1","CXCL8",0.828
"ANXA1","FN1",0.793
"ANXA1","PLA2G4A",0.813
"ANXA1","S100A4",0.844
"AHNAK","ANXA1",0.712
"ANXA1","KRT8",0.723
"ANXA1","CD9",0.737
"ALDH2","AOC3",0.976
"ALDH3B2","AOC3",0.928
"ALDH3A2","AOC3",0.928
"AOC3","MAOA",0.959
"AP1M2","AP1S2",0.997
"AP1M2","AP1S2",0.997
"APCDD1","LRP5",0.991
"APOB","CETP",0.989
"APOB","HBB",0.72
"APOB","GPIHBP1",0.737
"ADRB2","APOB",0.744
"APOB","APOBEC3B",0.758
"APOB","APOBEC3A",0.765
"ADIPOQ","APOB",0.781
"APOB","LIPE",0.788
"APOB","HSPG2",0.792
"APOB","TF",0.797
"APOB","FN1",0.825
"APOB","LSR",0.847
"APOB","CLU",0.865
"APOB","OLR1",0.868
"APOB","VLDLR",0.873
"APOB","HMGCR",0.896
"APOB","PLA2G7",0.936
"APOB","LPL",0.94
"APOB","CD36",0.98
"APOB","APOC1",0.996
"APOB","APOBEC3A",0.765
"APOBEC3A","APOBEC3B",0.939
"APOB","APOBEC3B",0.758
"APOBEC3A","APOBEC3B",0.939
"APOC1","CETP",0.985
"APOB","APOC1",0.996
"APOC1","PLA2G7",0.842
"APOC1","CLU",0.969
"APOC1","VLDLR",0.806
"APOC1","LPL",0.866
"AQP1","AQP3",0.745
"AQP1","EPB42",0.823
"AQP1","AQP3",0.745
"ARHGEF6","RABIF",0.826
"ARHGEF6","HRAS",0.908
"ARHGEF6","MRAS",0.908
"ARHGEF6","KRAS",0.912
"ASPA","NAT8L",0.977
"ASPH","CASQ2",0.998
"ASPH","F10",0.916
"ASPM","TRIP13",0.729
"ASPM","AURKA",0.93
"ASPM","OIP5",0.75
"ASPM","MND1",0.792
"ASPM","DLGAP5",0.994
"ASPM","NCAPG",0.972
"ASPM","CCNB1",0.952
"ASPM","KIF23",0.987
"ASPM","KIF11",0.989
"ASPM","NDC80",0.969
"ASPM","CENPE",0.981
"ANLN","ASPM",0.9
"ASPM","NUF2",0.98
"ASPM","CDCA5",0.746
"ASPM","BUB1B",0.974
"ASPM","CCNB2",0.951
"ASPM","MAD2L1",0.812
"ASPM","MELK",0.946
"ASPM","PCLAF",0.909
"ASPM","TPX2",0.949
"ASPM","BIRC5",0.879
"ASPM","BUB1",0.976
"ASPM","TYMS",0.76
"ASPM","SPAG5",0.945
"ASPM","KIF15",0.971
"ASPM","CDKN3",0.854
"ASPM","KNL1",0.755
"ASPM","SMC4",0.809
"ASPM","FOXM1",0.848
"ASPM","UBE2C",0.943
"ASPM","RRM2",0.854
"ASPM","EXO1",0.848
"ASPM","CENPF",0.987
"ASPM","DTL",0.848
"ASPM","NEK2",0.916
"ASPM","KIF14",0.963
"ASPM","CDC45",0.703
"ASPM","CKS2",0.745
"ASPM","TK1",0.763
"ASPM","ZWINT",0.818
"ASPM","UBE2T",0.827
"ASPM","DEPDC1",0.861
"ASPM","CDCA3",0.864
"ASPM","PTTG1",0.866
"ASPM","PRC1",0.921
"ASPM","ECT2",0.924
"ASPM","HMMR",0.928
"ASPM","KIF2C",0.936
"ASPM","NUSAP1",0.94
"ASPM","CDK1",0.942
"ASPM","CCNA2",0.944
"ASPM","CEP55",0.95
"ASPM","CDCA8",0.95
"ASPM","PBK",0.951
"ASPM","KIF4A",0.952
"ASPM","TTK",0.957
"ASPM","MKI67",0.962
"ASPM","CDC20",0.972
"ASPM","KIF20A",0.975
"ASPM","TOP2A",0.996
"ATAD2","H4C6",0.96
"ATAD2","MCM4",0.86
"ATAD2","CENPE",0.729
"ATAD2","CEP55",0.715
"ATAD2","NUSAP1",0.724
"ATAD2","TPX2",0.755
"ATAD2","SMC4",0.766
"ATAD2","HELLS",0.821
"ATAD2","TOP2A",0.837
"ATAD2","ESR1",0.977
"ATE1","RGS4",0.77
"ATG10","GABARAPL1",0.935
"ATM","H4C6",0.772
"ATM","KRAS",0.718
"ATM","CCNB1",0.775
"ATM","BRIP1",0.933
"ATM","BARD1",0.946
"ATM","PALB2",0.945
"ATM","EP300",0.904
"ATM","TP53",0.999
"ATM","ERBB2",0.748
"ATM","FGFR2",0.705
"ATM","KDM6A",0.712
"ATM","NSD2",0.715
"ATM","NF1",0.732
"ATM","CDK1",0.733
"ATM","H2BC21",0.745
"ATM","FOXO1",0.751
"ATM","FEN1",0.753
"ATM","CDC45",0.758
"ATM","PER3",0.778
"ATM","SMARCA4",0.786
"ATM","CCNA2",0.815
"ATM","TERT",0.825
"ATM","CDK12",0.831
"ATM","CDKN2A",0.847
"ATM","RAD51B",0.865
"ATM","MYC",0.871
"ATM","PTEN",0.897
"ATM","RAD51C",0.921
"ATM","FANCI",0.946
"ATM","MDM4",0.954
"ATM","EXO1",0.963
"ATM","FANCD2",0.989
"ATM","BLM",0.991
"ATM","BRCA2",0.995
"ATM","CHEK1",0.998
"ATM","BRCA1",0.999
"ATM","CHEK2",0.999
"ATM","ATR",0.999
"ATP1A2","FXYD1",0.946
"ATP1A2","ATP1B1",0.996
"ATP1A2","ATP1B1",0.996
"ATP1B1","NME7",0.839
"ATP1B1","FXYD1",0.939
"ATP8B4","TMEM30B",0.955
"ATR","H4C6",0.774
"ATR","BRIP1",0.775
"ATR","KIF11",0.854
"ATR","BARD1",0.725
"ATR","MCM4",0.768
"ATR","MCM2",0.758
"ATR","DBF4",0.873
"ATR","TP53",0.996
"ATM","ATR",0.999
"ATR","FANCD2",0.93
"ATR","FEN1",0.717
"ATR","RFX2",0.801
"ATR","FANCI",0.96
"ATR","RAD51C",0.84
"ATR","CDK1",0.786
"ATR","RAD51B",0.799
"ATR","BRCA2",0.831
"ATR","CDC45",0.914
"ATR","EXO1",0.947
"ATR","BLM",0.962
"ATR","CDC7",0.992
"ATR","BRCA1",0.996
"ATR","CHEK2",0.998
"ATR","CHEK1",0.999
"ATXN7","H2BC5",0.705
"ATXN7","H2BC12",0.708
"ATXN7","H2BC9",0.709
"ATXN7","H2BC21",0.858
"ATXN7","SORBS1",0.893
"AURKA","TRIP13",0.771
"AURKA","CDC45",0.701
"AURKA","UBE2S",0.704
"AURKA","PTEN",0.711
"AURKA","CDKN2A",0.723
"AURKA","KIF15",0.725
"AURKA","TYMS",0.729
"AURKA","PCLAF",0.735
"ANLN","AURKA",0.741
"AURKA","HRAS",0.744
"AURKA","HNRNPD",0.744
"AURKA","FEN1",0.748
"AURKA","CHEK1",0.754
"AURKA","EZH2",0.761
"AURKA","ESR1",0.769
"AURKA","TTK",0.779
"AURKA","DEPDC1",0.782
"AURKA","ZWINT",0.787
"AURKA","PBK",0.791
"AURKA","FOXM1",0.793
"AURKA","SPAG5",0.8
"AURKA","CKS2",0.804
"AURKA","CCNE2",0.812
"AURKA","CDCA3",0.815
"AURKA","FAM83D",0.818
"AURKA","NEK2",0.829
"AURKA","ECT2",0.831
"AURKA","TACC1",0.833
"AURKA","NUSAP1",0.843
"AURKA","MKI67",0.85
"AURKA","CDCA5",0.864
"AURKA","CENPE",0.869
"AURKA","CDKN3",0.87
"AURKA","KIF4A",0.885
"AURKA","RRM2",0.892
"AURKA","NUF2",0.893
"AURKA","CENPF",0.902
"AURKA","PRC1",0.91
"AURKA","MELK",0.913
"AURKA","MYC",0.914
"AURKA","KIF23",0.924
"AURKA","BUB1B",0.924
"AURKA","MAD2L1",0.929
"ASPM","AURKA",0.93
"AURKA","NDC80",0.933
"AURKA","KIF20A",0.936
"AURKA","CEP55",0.936
"AURKA","BRCA1",0.942
"AURKA","FN1",0.945
"AURKA","CCNA2",0.949
"AURKA","CDK1",0.951
"AURKA","CDCA8",0.952
"AURKA","NCAPG",0.952
"AURKA","CPEB1",0.955
"AURKA","TOP2A",0.963
"AURKA","DLGAP5",0.966
"AURKA","PTTG1",0.967
"AURKA","HMMR",0.97
"AURKA","BUB1",0.971
"AURKA","KIF11",0.972
"AURKA","KIF2C",0.975
"AURKA","CCNB1",0.979
"AURKA","UBE2C",0.986
"AURKA","CCNB2",0.988
"AURKA","BIRC5",0.993
"AURKA","CDC20",0.995
"AURKA","TP53",0.998
"AURKA","TPX2",0.999
"ACKR3","AVPR1A",0.767
"AVPR1A","OXTR",0.775
"AZGP1","PIP",0.999
"AZGP1","RBP4",0.746
"AZIN1","OAZ3",0.994
"BABAM1","BARD1",0.998
"BABAM1","BRCA2",0.713
"BABAM1","BRCA1",0.999
"BAMBI","LRP5",0.916
"BAMBI","TGFBR2",0.71
"BAMBI","FZD4",0.924
"BARD1","CBX7",0.72
"BARD1","H4C6",0.981
"BARD1","BRIP1",0.999
"BARD1","CDC20",0.703
"BARD1","HERC2",0.706
"BARD1","BLM",0.718
"ATR","BARD1",0.725
"BARD1","FANCD2",0.783
"BARD1","CCNA2",0.806
"BARD1","BUB1B",0.838
"BARD1","RAD51B",0.856
"BARD1","EXO1",0.858
"BARD1","ESR1",0.886
"BARD1","CHEK1",0.895
"BARD1","CBX2",0.904
"BARD1","BCOR",0.905
"BARD1","CBX8",0.909
"BARD1","UBE2C",0.936
"BARD1","CHEK2",0.937
"ATM","BARD1",0.946
"BARD1","H2AC6",0.951
"BARD1","H2BC12",0.955
"BARD1","UBE2S",0.961
"BARD1","RAD51C",0.967
"BARD1","H2BC21",0.978
"BARD1","H2AC8",0.981
"BARD1","TP53",0.982
"BARD1","PALB2",0.987
"BABAM1","BARD1",0.998
"BARD1","BRCA2",0.999
"BARD1","BRCA1",0.999
"BCL11B","RB1",0.769
"BCL11B","TAL1",0.754
"BCL11B","SMARCA4",0.967
"BCL2A1","BIK",0.932
"BCL2A1","NR3C1",0.7
"ALK","BCL2A1",0.707
"BCL2A1","STAT5A",0.761
"BCL6","XBP1",0.727
"BCL6","TP53",0.957
"BCL6","EZH2",0.795
"BCL6","EBF1",0.715
"BCL6","STAT1",0.732
"BCL6","JUN",0.814
"BCL6","BCOR",0.999
"BCL6","FOXO1",0.801
"BCL6","SDC1",0.82
"BCL6","RHOH",0.817
"BCL6","CXCR4",0.709
"BCL6","FBXO11",0.805
"BCL6","MYC",0.922
"BCL6","MME",0.926
"BCLAF1","PNN",0.874
"BCLAF1","CCNB1",0.94
"BCLAF1","BRCA1",0.79
"BCLAF1","SRSF10",0.732
"BCOR","CBX7",0.833
"BARD1","BCOR",0.905
"BCOR","UBE2S",0.904
"BCOR","CBX8",0.971
"BCOR","BUB1B",0.754
"BCOR","CBX2",0.942
"BCOR","UBE2C",0.904
"BCOR","BRCA2",0.729
"BCOR","BRCA1",0.904
"BCL6","BCOR",0.999
"BGN","DCN",0.989
"BGN","SGCG",0.898
"BGN","COMP",0.724
"BGN","COL1A1",0.974
"BGN","CCN4",0.962
"BGN","BMP6",0.753
"BGN","FBN1",0.784
"BGN","FBLN2",0.704
"BGN","BMP2",0.738
"BGN","POSTN",0.83
"BGN","SDC1",0.943
"BGN","FN1",0.995
"BGN","HSPG2",0.997
"BHMT2","MTHFD2",0.731
"BICDL1","HOOK1",0.712
"BIK","BOK",0.721
"BCL2A1","BIK",0.932
"BIN1","RIN3",0.999
"BIN1","SNX1",0.725
"BIN1","EPN3",0.849
