source,target,weight
ANXA2,EGFR,0.958
ANXA2,KCNK3,0.737
ANXA2,CAV1,0.922
ANXA2,MYC,0.951
ANXA1,ANXA2,0.989
ANXA2,S100A10,0.999
AOC1,INMT,0.912
AOC3,CD69,0.769
AOC3,FCGR3B,0.794
AOC3,CD19,0.795
AOC3,FCGR3A,0.795
ALDH3A1,AOC3,0.928
AOX1,UGT2B4,0.937
ADH1B,AOX1,0.952
AOX1,HSD17B6,0.918
APC,LRRK2,0.745
APC,CDH1,0.92
ARC,EGR1,0.851
ARC,FOSB,0.725
ARC,EGR3,0.722
ARC,SH3GL3,0.976
ARC,GRIA1,0.814
AREG,HBEGF,0.785
AREG,KRAS,0.766
AREG,EGF,0.998
AREG,ERBB2,0.959
AREG,EGFR,0.999
ADAMTS1,AREG,0.722
AREG,FGFR4,0.712
AREG,MET,0.804
AREG,TEK,0.708
ANOS1,ARSL,0.7
ASPA,GAD1,0.822
ASPM,DLGAP5,0.994
ASPM,CCNB1,0.952
ANLN,ASPM,0.9
ASPM,CDCA5,0.746
ASPM,BUB1B,0.974
ASPM,CCNB2,0.951
ASPM,MELK,0.946
ASPM,PCLAF,0.909
ASPM,TPX2,0.949
ASPM,TYMS,0.76
ASPM,UBE2C,0.943
ASPM,RRM2,0.854
ASPM,EXO1,0.848
ASPM,CENPF,0.987
ASPM,NEK2,0.916
ASPM,CDC45,0.703
ASPM,TK1,0.763
ASPM,ZWINT,0.818
ASPM,UBE2T,0.827
ASPM,DEPDC1,0.861
ASPM,HMMR,0.928
ASPM,HJURP,0.931
ASPM,NUSAP1,0.94
ASPM,CCNA2,0.944
ASPM,CEP55,0.95
ASPM,CDCA8,0.95
ASPM,KIF4A,0.952
ASPM,TTK,0.957
ASPM,CDC20,0.972
ASPM,KIF20A,0.975
ASPM,TOP2A,0.996
ATF3,PPP1R15A,0.896
ATF3,GADD45B,0.824
ATF3,EGR1,0.873
ATF3,FOSB,0.941
ATF3,EGR3,0.711
ATF3,KLF6,0.721
ATF3,MYC,0.737
ATF3,NR4A2,0.75
ATF3,NR4A1,0.772
ATF3,IL6,0.779
ATF3,CEBPG,0.834
ATF3,MAFF,0.868
ATP1A2,SCN1A,0.926
ATP1A2,FXYD1,0.946
B3GNT3,FUT2,0.95
BDNF,SLC6A4,0.922
